date,시구,행정동,담당 우체국명,event_type,allocation_event_type,plan_ids,집배원수,세대수,사업체수,면적 (㎢),행정동_위도,행정동_경도,담당 우체국 위도,담당 우체국 경도,office_dong_distance_km,no_event_allocated_volume,allocated_volume_low,allocated_volume_base,allocated_volume_high,event_added_volume_base,no_event_volume_per_courier,volume_per_courier_low,volume_per_courier_base,volume_per_courier_high,event_added_volume_per_courier_base,no_event_load_score,load_score_base,distance_score,area_score,no_event_relative_lt_risk_index,relative_lt_risk_index_low,relative_lt_risk_index_base,relative_lt_risk_index_high,event_risk_delta_low,event_risk_delta_base,event_risk_delta_high,relative_risk_level_low,relative_risk_level_base,relative_risk_level_high,daily_priority_rank_low,daily_priority_rank_base,daily_priority_rank_high,event_uplift_rank_low,event_uplift_rank_base,event_uplift_rank_high
2026-01-02,중구,대흥동,서대전우체국,없음,없음,없음,5.081,7428,2488,1.2,36.32303594098726,127.42376622963994,36.3344823,127.3979405,2.641,1050.9913785088274,1050.9913785088274,1050.9913785088274,1050.9913785088274,0.0,206.85,206.85,206.85,206.85,0.0,59.3,59.3,46.914,33.951,54.288,54.288,54.288,54.288,0.0,0.0,0.0,Normal,Normal,Normal,44,44,44,,,
2026-01-02,중구,문창동,서대전우체국,없음,없음,없음,2.106,2508,1167,0.46,36.31790880166801,127.4362154090174,36.3344823,127.3979405,3.893,434.39555173244594,434.39555173244594,434.39555173244594,434.39555173244594,0.0,206.27,206.27,206.27,206.27,0.0,59.147,59.147,61.728,0.0,53.748,53.748,53.748,53.748,0.0,0.0,0.0,Normal,Normal,Normal,45,45,45,,,
2026-01-02,동구,용전동,대전우체국,없음,없음,없음,6.505,11770,2478,1.2,36.35408965503487,127.43427686988466,36.3289462,127.433855,2.796,1309.108132668663,1309.108132668663,1309.108132668663,1309.108132668663,0.0,201.25,201.25,201.25,201.25,0.0,57.642,57.642,49.383,33.951,53.621,53.621,53.621,53.621,0.0,0.0,0.0,Normal,Normal,Normal,46,46,46,,,
2026-01-02,서구,변동,대전둔산우체국,없음,없음,없음,4.423,6538,1992,1.48,36.328007494086265,127.38031550817612,36.3518707,127.3862544,2.706,876.9223812920291,876.9223812920291,876.9223812920291,876.9223812920291,0.0,198.26,198.26,198.26,198.26,0.0,56.602,56.602,48.148,41.975,53.448,53.448,53.448,53.448,0.0,0.0,0.0,Normal,Normal,Normal,47,47,47,,,
2026-01-02,중구,은행선화동,서대전우체국,없음,없음,없음,7.136,8398,4045,1.49,36.33143970182906,127.42056045109832,36.3344823,127.3979405,2.054,1487.9726040179326,1487.9726040179326,1487.9726040179326,1487.9726040179326,0.0,208.52,208.52,208.52,208.52,0.0,59.745,59.745,35.802,43.21,53.303,53.303,53.303,53.303,0.0,0.0,0.0,Normal,Normal,Normal,48,48,48,,,
2026-01-02,유성구,원신흥동,대전유성우체국,없음,없음,없음,6.139,13553,1902,2.8,36.342709122769634,127.34600489222665,36.354967,127.344751,1.368,1275.9755136963033,1275.9755136963033,1275.9755136963033,1275.9755136963033,0.0,207.85,207.85,207.85,207.85,0.0,59.559,59.559,22.222,63.58,52.494,52.494,52.494,52.494,0.0,0.0,0.0,Normal,Normal,Normal,49,49,49,,,
2026-01-02,서구,만년동,대전둔산우체국,없음,없음,없음,3.92,6100,1771,1.71,36.368389886465586,127.3828053708733,36.3518707,127.3862544,1.863,796.8762765744492,796.8762765744492,796.8762765744492,796.8762765744492,0.0,203.28,203.28,203.28,203.28,0.0,58.314,58.314,32.099,50.617,52.301,52.301,52.301,52.301,0.0,0.0,0.0,Normal,Normal,Normal,50,50,50,,,
2026-01-02,서구,갈마1동,대전둔산우체국,없음,없음,없음,6.037,11924,2099,1.5,36.34862288787222,127.36583843348868,36.3518707,127.3862544,1.864,1226.1490567748497,1226.1490567748497,1226.1490567748497,1226.1490567748497,0.0,203.11,203.11,203.11,203.11,0.0,58.263,58.263,33.333,45.062,51.957,51.957,51.957,51.957,0.0,0.0,0.0,Normal,Normal,Normal,51,51,51,,,
2026-01-02,서구,내동,대전둔산우체국,없음,없음,없음,4.755,9542,1611,0.99,36.33439858110368,127.37754674587718,36.3518707,127.3862544,2.094,964.496108034938,964.496108034938,964.496108034938,964.496108034938,0.0,202.84,202.84,202.84,202.84,0.0,58.186,58.186,39.506,22.222,50.854,50.854,50.854,50.854,0.0,0.0,0.0,Normal,Normal,Normal,52,52,52,,,
2026-01-02,대덕구,목상동,대전대덕우체국,없음,없음,없음,3.199,3154,1965,5.79,36.43993740673555,127.40305896551196,36.4474738,127.4003943,0.871,667.2910631255444,667.2910631255444,667.2910631255444,667.2910631255444,0.0,208.59,208.59,208.59,208.59,0.0,59.76,59.76,6.173,77.778,50.844,50.844,50.844,50.844,0.0,0.0,0.0,Normal,Normal,Normal,53,53,53,,,
2026-01-02,서구,월평3동,대전둔산우체국,없음,없음,없음,3.163,7609,817,0.9,36.36119431302878,127.36746455321634,36.3518707,127.3862544,1.976,655.3449483800946,655.3449483800946,655.3449483800946,655.3449483800946,0.0,207.19,207.19,207.19,207.19,0.0,59.384,59.384,34.568,20.988,50.581,50.581,50.581,50.581,0.0,0.0,0.0,Normal,Normal,Normal,54,54,54,,,
2026-01-02,유성구,온천1동,대전유성우체국,없음,없음,없음,11.938,17734,5662,5.0,36.35628949086425,127.3336193903544,36.354967,127.344751,1.008,2441.5669461788743,2441.5669461788743,2441.5669461788743,2441.5669461788743,0.0,204.52,204.52,204.52,204.52,0.0,58.654,58.654,9.877,74.074,50.441,50.441,50.441,50.441,0.0,0.0,0.0,Normal,Normal,Normal,55,55,55,,,
2026-01-02,대덕구,석봉동,대전대덕우체국,없음,없음,없음,3.632,6682,1250,1.22,36.44937602135271,127.42369434147474,36.4474738,127.4003943,2.095,705.0554696199684,705.0554696199684,705.0554696199684,705.0554696199684,0.0,194.12,194.12,194.12,194.12,0.0,55.032,55.032,40.741,35.802,50.251,50.251,50.251,50.251,0.0,0.0,0.0,Normal,Normal,Normal,56,56,56,,,
2026-01-02,동구,판암2동,대전우체국,없음,없음,없음,2.055,5130,469,0.76,36.32116846444311,127.45481653995778,36.3289462,127.433855,2.067,421.92943347070815,421.92943347070815,421.92943347070815,421.92943347070815,0.0,205.32,205.32,205.32,205.32,0.0,58.858,58.858,37.037,14.815,50.089,50.089,50.089,50.089,0.0,0.0,0.0,Normal,Normal,Normal,57,57,57,,,
2026-01-02,서구,가장동,대전둔산우체국,없음,없음,없음,2.493,4775,892,0.57,36.33163295860545,127.38831253446264,36.3518707,127.3862544,2.258,503.53111677114083,503.53111677114083,503.53111677114083,503.53111677114083,0.0,201.98,201.98,201.98,201.98,0.0,57.891,57.891,44.444,2.469,49.659,49.659,49.659,49.659,0.0,0.0,0.0,Normal,Normal,Normal,58,58,58,,,
2026-01-02,중구,유천1동,서대전우체국,없음,없음,없음,2.844,3410,1584,0.6,36.31628531515939,127.3928326385498,36.3344823,127.3979405,2.075,589.9661354682376,589.9661354682376,589.9661354682376,589.9661354682376,0.0,207.44,207.44,207.44,207.44,0.0,59.453,59.453,38.272,3.704,49.642,49.642,49.642,49.642,0.0,0.0,0.0,Normal,Normal,Normal,59,59,59,,,
